Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Housing Maintenance & Repair,Crown Commercial Service,  Opportunity,  Open,  United Kingdom,"  23 January 2027, 12am","  £500,000,000",   7 November 2022
Leeds Sensory Impairment Support Service (1),Leeds City Council,  Opportunity,  Open,  Yorkshire and the Humber,"   2 December 2022, 12pm",  £0,   7 November 2022
CA11340 - Tender for a Virtual Simulation Module(Vsim),New College Swindon,  Opportunity,  Open,  SN3 1AH,"  30 November 2022, 12pm",  £0,   7 November 2022
Office/Depot Cleaning 2023 - 26,Weaver Vale Housing Trust e-Tendering,  Opportunity,  Open,  CW9 7LL,"   9 December 2022, 12pm","  £40,000 to £60,000",   7 November 2022
Expression of Interest for the Provision of Non-Statutory Adult Eating Disorders Services,NHS Arden and Greater East Midlands Commissioning Support Unit,  Opportunity,  Open,  East of England,"  25 November 2022,  5pm","  £733,887 to £1,027,441",   7 November 2022
M621 Junction 1-7 Improvements - Attenuation Tanks,KELTBRAY HIGHWAYS LIMITED,  Opportunity,  Open,  Yorkshire and the Humber,"  18 November 2022, 11:59pm","  £250,000","   7 November 2022, last edited  7 November 2022"
Culcheth Library - Refurbishment,Warrington Borough Council,  Opportunity,  Open,  England,"   5 December 2022, 12pm","  £250,000","   4 November 2022, last edited  7 November 2022"
Littlebeck & Cock Mill Footbridge Replacement,North Yorkshire County Council,  Opportunity,  Open,  Yorkshire and the Humber,"   6 December 2022, 12pm","  £20,000 to £25,000",   7 November 2022
Client 185581 Supported Living / EMI Accommodation,Cheshire west and Chester Borough Council,  Opportunity,  Open,  England,"  17 November 2022,  2pm","  £25,000",   7 November 2022
CA11341 - Replacement of the steam and condensate pipework,Shropshire Healthcare Procurement Service,  Opportunity,  Open,  SY3 8XQ,"  18 November 2022, 10am",  £0,   7 November 2022
MECHANICAL MINOR WORKS: MECHANICAL INSTALLATION MAINTENANCE SERVICES,Derbyshire Support and Facilities Services,  Opportunity,  Open,  S44 5BL,"   7 December 2022, 12pm","  £500,000",   7 November 2022
Parenting Support and Development Service,London Borough of Hillingdon,  Opportunity,  Open,  UB8 1UW,"   9 December 2022, 12pm","  £810,509","   7 November 2022, last edited  7 November 2022"
Derby Car Club Concession,Derby City Council,  Opportunity,  Open,  East Midlands,"  28 November 2022, 10am","  £516,000","  19 October 2022, last edited  7 November 2022"
Allington Solar Park Development,Eastleigh Borough Council,  Opportunity,  Open,  England,"  18 November 2022, 12pm","  £100,000 to £150,000","   4 November 2022, last edited  7 November 2022"
Multiuse LiDAR,Board of Trustees of the Royal Botanic Gardens Kew,  Opportunity,  Open,  TW9 3AB,"  25 November 2022,  4pm","  £100,000",   7 November 2022
"Harrogate District CCTV, Network Maintenance, Servicing and Additional Works",Harrogate Borough Council,  Opportunity,  Open,  HG1 2AE,"   5 December 2022, 12pm","  £60,000 to £90,000",   7 November 2022
PROVISION OF CONTRACT HIRE OF [6 OR 7] 32T HOOKLIFT VEHICLES AND MAINTENANCE,Gloucestershire County Council,  Opportunity,  Open,  England,"   6 December 2022, 12pm","  £1,800,000",   7 November 2022
Meridian Academies Trust ~ Cleaning Tender,Meridian Academies Trust,  Opportunity,  Open,  East Midlands,"  16 December 2022, 12pm","  £9,500,000",   7 November 2022
Tender for the Supply and Installation of a High-Dimensional Spatial Transcriptomics/Proteomics Platform for the University of Birmingham,THE UNIVERSITY OF BIRMINGHAM,  Opportunity,  Open,  B15 2TT,"   7 December 2022, 12pm",  £0,   7 November 2022
COV - Strategic Energy Partner,Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"  31 January 2023, 12pm",  £0,"   7 September 2022, last edited  7 November 2022"
Provision of Children and Young Peoples Targeted Emotional Wellbeing Mental Health Services - Harrow,NHS North West London Integrated Care Board,  Opportunity,  Open,  NW1 5JD,"   2 December 2022, 12pm","  £2,750,000","   3 November 2022, last edited  7 November 2022"
"Amberley & Harrogate Street, Sunderland - New Build Development",Thirteen Housing Group Ltd,  Opportunity,  Open,  TS2 1QG,"  27 January 2023, 12pm","  £19,000,000 to £20,000,000","  27 October 2022, last edited  7 November 2022"
City Wide Application of Weed Spraying,Hull City Council,  Opportunity,  Open,  HU1 2AA,"   7 December 2022,  5pm","  £80,000 to £100,000",   7 November 2022
Supply of Bulk Fuel Tank,Cheshire Constabulary on behalf of the Police and Crime Commissioner for Cheshire,  Opportunity,  Open,  CW7 2UA,"  25 November 2022, 10am",  £0,   7 November 2022
Esher Sixth Form College ~ Cleaning Tender,Esher Sixth Form College,  Opportunity,  Open,  South East,"  16 December 2022, 12pm","  £1,794,150",   7 November 2022
Kensington Memorial Park Photovoltaic System Installation,capitalEsourcing,  Early engagement,  Open,  W10 6LH,   9 December 2022,Publication date  7 November 2022,None
Paper Object Conservation,National Army Museum,  Opportunity,  Open,"  London, South East","  28 November 2022, 10am","  £9,500",   7 November 2022
390_22 Document Management Solutions,ESPO,  Opportunity,  Open,  United Kingdom,"  24 November 2022, 12pm","  £160,000,000","  14 October 2022, last edited  7 November 2022"
Customer Relationship Management System (CRM) Market Engagement,Doncaster Council,  Opportunity,  Open,  Yorkshire and the Humber,"  30 November 2022, 12pm",  £0,   7 November 2022
IDG - Student Systems Improvements Service,The University of Warwick,  Opportunity,  Open,  CV4 7AL,"  28 November 2022, 12pm","  £500,000 to £550,000",   7 November 2022
Residential Respite Services for adults with a learning disability,London Borough of Merton,  Opportunity,  Open,  England,"   6 December 2022, 12pm","  £1,626,000",   7 November 2022
Occupational Health Service,North Tyneside Council,  Opportunity,  Open,  England,"   9 December 2022, 12pm","  £700,000","   4 November 2022, last edited  7 November 2022"
SOL - Holiday Activity Fund FCA,Solihull MBC (SOL),  Opportunity,  Open,  B91 3QB,"  18 November 2022, 12pm",  £0,"   7 November 2022, last edited  7 November 2022"
Supply and install of Glasshouses for Idless Nursery,Truro City Council,  Opportunity,  Open,  South West,"  25 November 2022, 12pm","  £50,000",   7 November 2022
IT Services,London Waste & Recycling Board,  Opportunity,  Open,  London,"  23 November 2022,  5pm","  £40,000",   7 November 2022
Contract for CCTV Upgrade Project and Maintenance Services,London Borough of Barking and Dagenham,  Opportunity,  Open,  London,"   8 December 2022, 12pm","  £4,000,000",   7 November 2022
GLO Coaching Conversations,Health Education England,  Opportunity,  Open,  LS1 4PL,"  28 November 2022, 12pm","  £30,000",   7 November 2022
Investigation into the delivery of biodiversity units in the West Surrey Hills AONB,Natural England,  Opportunity,  Open,  England,"  21 November 2022, 12pm","  £10,000 to £24,999","   4 November 2022, last edited  7 November 2022"
Tourism Ticketing Solution For the period of 01/01/2023 to 31/12/2023 With a Further Option of Two One Year Extensions,Sefton Council,  Opportunity,  Open,  United Kingdom,"  28 November 2022, 12pm",  £0,   7 November 2022
CEFAS22-115 Request for Quotation for Innova® S44i - Stackable Incubator Shaker,Defra Network eTendering Portal,  Opportunity,  Open,  Any region,"  21 November 2022, 12pm","  £15,000",   7 November 2022
Project 1777 - Demolition of the Remaining Structure at Futures Community College,Southend-on-Sea Borough Council,  Opportunity,  Open,  England,"  28 November 2022, 12pm","  £70,000",   7 November 2022
landscaping of open green space,Formby Parish Council,  Opportunity,  Open,  L37 3HE,"  25 November 2022, 10am","  £25,000 to £75,000",   7 November 2022
Laboratory Fume Cabinets Maintenance & Repair Services,Falmouth Exeter Plus,  Opportunity,  Open,  South West,"  28 November 2022, 12pm","  £130,000 to £170,000",   7 November 2022
Digital Intelligence and Investigation Support Tooling RFI,H M Revenue & Customs,  Early engagement,  Open,  United Kingdom,   5 December 2022,Publication date  7 November 2022,None
Market Engagement - Inter Country Adoption Services,Oxfordshire County Council,  Early engagement,  Open,  England,   5 December 2022,Publication date  7 November 2022,None
GB-Liverpool: Tender for the Provision of Customer Helpdesk Software Services,The ACC Liverpool Group Limited,  Opportunity,  Open,  North West,"  25 November 2022, 12pm","  £50,000 to £100,000",   7 November 2022
Market Engagement Event - Living Well Collaborative Facilitation and Coordination for NHS Derby and Derbyshire ICB,NHS Arden and GEM CSU,  Early engagement,  Open,  East Midlands,  15 November 2022,Publication date  7 November 2022,None
CA11246 - Southport College & King George V College - External Audit Services,Southport College,  Opportunity,  Open,  PR9 0TT,"   5 December 2022, 10am",  £0,   7 November 2022
Provision of a Framework for Graphic Design and Videography Services,Barnsley Metropolitan Borough Council,  Opportunity,  Open,  Yorkshire and the Humber,"   8 December 2022, 12pm",  £0,   7 November 2022
705780450 - Stabilised Weapon System,Ministry of Defence,  Opportunity,  Open,  BS34 8JH,"  30 November 2022, 11:59pm","  £2,000,000",   7 November 2022
GB-London: Improving the governance of developer contributions,Local Government Improvement and Development Agency,  Opportunity,  Open,  Any region,"  28 November 2022,  6pm","  £100,000 to £500,000",   7 November 2022
A & E Security Service,Northampton General Hospital NHS Trust,  Opportunity,  Open,  East Midlands,"  23 December 2022, 12am","  £150,000",   7 November 2022
"Sculpture for the Queens Mother Garden, Dereham for Breckland Council",Breckland District Council and South Holland District Council,  Opportunity,  Open,  NR19 1EE,"   7 November 2022,  5pm","  £10,000 to £15,000","  19 October 2022, last edited  7 November 2022"
NFCC - Command and Control (CAD) and Integrated Communication and Control Systems (ICCS) Supplier and Fire sector engagement day.,Kent Fire and Rescue Service,  Early engagement,  Open,  England,  15 December 2022,"Publication date  3 November 2022, last edited  7 November 2022",None
PLACE138 Supply of CAD Software and Licencing,Derbyshire County Council,  Opportunity,  Open,  England,"   7 December 2022, 11am","  £405,000",   7 November 2022
Danes Educational Trust ~ Cleaning Tenders,Danes Educational Trust,  Opportunity,  Open,  East of England,"  21 November 2022, 12pm","  £4,103,730",   7 November 2022
Administrative Assistant/ Support Officer Level 3 x 2,Sandwell Metropolitan Borough Council,  Opportunity,  Open,  B70 8SZ,"   8 November 2022, 10am","  £9,785.77 to £11,472.96",   7 November 2022
COV - Replacement of the Heating System at Grange Hurst Primary School (reissue),Coventry City Council (COV),  Opportunity,  Open,  CV1 2GN,"   5 December 2022, 12pm",  £0,   7 November 2022
BSH/CEN/Electrical Services Remedial Works at The Exchange,Bristol City Council,  Opportunity,  Open,  England,"  28 November 2022, 12pm","  £125,000",   7 November 2022
"Framework Contract for Responsive Repairs, Void Works, Electrical and Mechanical Works",Bernicia Group,  Opportunity,  Open,  England,"   4 January 2023, 12pm","  £13,000,000",   7 November 2022
"Bespoke frontend, heated valve boxes for sample selection and drying for atmospheric air.",University of Bristol,  Opportunity,  Open,  South West,"  28 November 2022,  9am","  £90,000",   7 November 2022
GB-London: IWM London War Games Exhibition Summative Evaluation,Imperial War Museums,  Opportunity,  Open,  London,"   3 January 2023,  5pm","  £10,000 to £25,000",   7 November 2022
Non-Maintained and Independent Special Schools (NMISS) Placement Dynamic Purchasing System (DPS),London Borough of Merton,  Opportunity,  Open,  SM4 5DX,"   3 April 2028, 12pm","  £10,000,000",   7 November 2022
Resurfacing Works within St Helens parks and open space 2022/23,St.Helens Council,  Opportunity,  Open,  England,"  28 November 2022, 12pm","  £200,000",   7 November 2022
Provision of Fuel delivery solution and fuel provision for Strathclyde and Glasgow University Air Sqn (UGSAS),Ministry of Defence,  Opportunity,  Open,  Scotland,"   5 December 2022, 11:59pm","  £273,600",   7 November 2022
ASC 2022 004- The Provision of Care & Support for Visram House-Extra Care Scheme,London Borough of Brent,  Opportunity,  Open,  England,"   8 December 2022, 12pm","  £2,480,664",   7 November 2022
CCS022 Provision of Technical Advice to review the Building Schools for the Future Private Finance Initiative Contract,Derbyshire County Council,  Opportunity,  Open,  England,"   8 December 2022, 11am","  £55,000",   6 November 2022
PS22408 - Mobilising Local Net Zero Investments - Diverse Solutions for Diverse Places - RFP,"Department for Business, Energy & Industrial Strategy",  Opportunity,  Open,  Any region,"  12 December 2022, 11am","  £300,000",   5 November 2022
"Mandatory Dental Services to Kent and Medway ICB, Sussex ICB and Hampshire and Isle of Wight ICB","NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",  Opportunity,  Open,  South East,"  15 December 2022, 12pm","  £0 to £61,073,980",   4 November 2022
Demand Responsive Transport Scheme (DRT) for the West of England Combined Authority,West of England Combined Authority,  Opportunity,  Open,  England,"   6 December 2022,  3pm","  £10,000,000",   4 November 2022
"Heating, Ventilation and Air Conditioning Measured Term Contract",Bracknell Forest Borough Council,  Opportunity,  Open,  England,"   6 December 2022,  3pm","  £550,000",   4 November 2022
